date,location,location_name,age_group,value
2020-03-27,GM01,Baden-Württemberg State,A15-A34,2124
2020-03-27,GM01,Baden-Württemberg State,A35-A59,3949
2020-03-27,GM01,Baden-Württemberg State,A60-A79,1471
2020-03-27,GM01,Baden-Württemberg State,A80+,363
2020-03-27,GM01,Baden-Württemberg State,unbekannt,20
2020-03-27,GM02,Free State of Bavaria,A00-A04,98
2020-03-27,GM02,Free State of Bavaria,A05-A14,271
2020-03-27,GM02,Free State of Bavaria,A15-A34,2449
2020-03-27,GM02,Free State of Bavaria,A35-A59,4543
2020-03-27,GM02,Free State of Bavaria,A60-A79,1579
2020-03-27,GM02,Free State of Bavaria,A80+,496
2020-03-27,GM02,Free State of Bavaria,unbekannt,45
2020-03-27,GM03,Free Hanseatic City of Bremen,A00-A04,1
2020-03-27,GM03,Free Hanseatic City of Bremen,A05-A14,2
2020-03-27,GM03,Free Hanseatic City of Bremen,A15-A34,65
2020-03-27,GM03,Free Hanseatic City of Bremen,A35-A59,109
2020-03-27,GM03,Free Hanseatic City of Bremen,A60-A79,55
2020-03-27,GM03,Free Hanseatic City of Bremen,A80+,7
2020-03-27,GM03,Free Hanseatic City of Bremen,unbekannt,2
2020-03-27,GM04,Free Hanseatic City of Hamburg,A00-A04,14
2020-03-27,GM04,Free Hanseatic City of Hamburg,A05-A14,58
2020-03-27,GM04,Free Hanseatic City of Hamburg,A15-A34,581
2020-03-27,GM04,Free Hanseatic City of Hamburg,A35-A59,783
2020-03-27,GM04,Free Hanseatic City of Hamburg,A60-A79,217
2020-03-27,GM04,Free Hanseatic City of Hamburg,A80+,35
2020-03-27,GM04,Free Hanseatic City of Hamburg,unbekannt,5
2020-03-27,GM05,Hesse State,A00-A04,10
2020-03-27,GM05,Hesse State,A05-A14,34
2020-03-27,GM05,Hesse State,A15-A34,555
2020-03-27,GM05,Hesse State,A35-A59,1307
2020-03-27,GM05,Hesse State,A60-A79,372
2020-03-27,GM05,Hesse State,A80+,41
2020-03-27,GM05,Hesse State,unbekannt,4
2020-03-27,GM06,Lower Saxony State,A00-A04,11
2020-03-27,GM06,Lower Saxony State,A05-A14,42
2020-03-27,GM06,Lower Saxony State,A15-A34,696
2020-03-27,GM06,Lower Saxony State,A35-A59,1449
2020-03-27,GM06,Lower Saxony State,A60-A79,522
2020-03-27,GM06,Lower Saxony State,A80+,88
2020-03-27,GM06,Lower Saxony State,unbekannt,2
2020-03-27,GM07,North Rhine-Westphalia State,A00-A04,48
2020-03-27,GM07,North Rhine-Westphalia State,A05-A14,115
2020-03-27,GM07,North Rhine-Westphalia State,A15-A34,2178
2020-03-27,GM07,North Rhine-Westphalia State,A35-A59,4842
2020-03-27,GM07,North Rhine-Westphalia State,A60-A79,1640
2020-03-27,GM07,North Rhine-Westphalia State,A80+,384
2020-03-27,GM07,North Rhine-Westphalia State,unbekannt,28
2020-03-27,GM08,Rhineland-Palatinate State,A00-A04,12
2020-03-27,GM08,Rhineland-Palatinate State,A05-A14,27
2020-03-27,GM08,Rhineland-Palatinate State,A15-A34,500
2020-03-27,GM08,Rhineland-Palatinate State,A35-A59,1014
2020-03-27,GM08,Rhineland-Palatinate State,A60-A79,346
2020-03-27,GM08,Rhineland-Palatinate State,A80+,57
2020-03-27,GM08,Rhineland-Palatinate State,unbekannt,15
2020-03-27,GM09,Saarland State,A00-A04,2
2020-03-27,GM09,Saarland State,A05-A14,7
2020-03-27,GM09,Saarland State,A15-A34,139
2020-03-27,GM09,Saarland State,A35-A59,271
2020-03-27,GM09,Saarland State,A60-A79,70
2020-03-27,GM09,Saarland State,A80+,15
2020-03-27,GM09,Saarland State,unbekannt,1
2020-03-27,GM10,Schleswig-Holstein State,A00-A04,6
2020-03-27,GM10,Schleswig-Holstein State,A05-A14,11
2020-03-27,GM10,Schleswig-Holstein State,A15-A34,209
2020-03-27,GM10,Schleswig-Holstein State,A35-A59,369
2020-03-27,GM10,Schleswig-Holstein State,A60-A79,161
2020-03-27,GM10,Schleswig-Holstein State,A80+,47
2020-03-27,GM10,Schleswig-Holstein State,unbekannt,9
2020-03-27,GM11,Brandenburg State,A00-A04,1
2020-03-27,GM11,Brandenburg State,A05-A14,9
2020-03-27,GM11,Brandenburg State,A15-A34,120
2020-03-27,GM11,Brandenburg State,A35-A59,289
2020-03-27,GM11,Brandenburg State,A60-A79,109
2020-03-27,GM11,Brandenburg State,A80+,9
2020-03-27,GM12,Mecklenburg-Western Pomerania State,A05-A14,3
2020-03-27,GM12,Mecklenburg-Western Pomerania State,A15-A34,85
2020-03-27,GM12,Mecklenburg-Western Pomerania State,A35-A59,130
2020-03-27,GM12,Mecklenburg-Western Pomerania State,A60-A79,38
2020-03-27,GM12,Mecklenburg-Western Pomerania State,A80+,3
2020-03-27,GM13,Free State of Saxony,A00-A04,13
2020-03-27,GM13,Free State of Saxony,A05-A14,23
2020-03-27,GM13,Free State of Saxony,A15-A34,341
2020-03-27,GM13,Free State of Saxony,A35-A59,643
2020-03-27,GM13,Free State of Saxony,A60-A79,246
2020-03-27,GM13,Free State of Saxony,A80+,39
2020-03-27,GM14,Sachsen-Anhalt State,A05-A14,8
2020-03-27,GM14,Sachsen-Anhalt State,A15-A34,116
2020-03-27,GM14,Sachsen-Anhalt State,A35-A59,224
2020-03-27,GM14,Sachsen-Anhalt State,A60-A79,83
2020-03-27,GM14,Sachsen-Anhalt State,A80+,26
2020-03-27,GM14,Sachsen-Anhalt State,unbekannt,1
2020-03-27,GM15,Free State of Thüringia,A00-A04,4
2020-03-27,GM15,Free State of Thüringia,A05-A14,14
2020-03-27,GM15,Free State of Thüringia,A15-A34,144
2020-03-27,GM15,Free State of Thüringia,A35-A59,275
2020-03-27,GM15,Free State of Thüringia,A60-A79,79
2020-03-27,GM15,Free State of Thüringia,A80+,26
2020-03-27,GM16,Berlin State,A00-A04,18
2020-03-27,GM16,Berlin State,A05-A14,57
2020-03-27,GM16,Berlin State,A15-A34,738
2020-03-27,GM16,Berlin State,A35-A59,888
2020-03-27,GM16,Berlin State,A60-A79,207
2020-03-27,GM16,Berlin State,A80+,38
2020-03-27,GM16,Berlin State,unbekannt,9
2020-03-28,GM,Germany,A00-A04,343
2020-03-28,GM,Germany,A05-A14,971
2020-03-28,GM,Germany,A15-A34,12598
2020-03-28,GM,Germany,A35-A59,23939
2020-03-28,GM,Germany,A60-A79,8486
2020-03-28,GM,Germany,A80+,2101
2020-03-28,GM,Germany,unbekannt,144
2020-03-28,GM01,Baden-Württemberg State,A00-A04,78
2020-03-28,GM01,Baden-Württemberg State,A05-A14,191
2020-03-28,GM01,Baden-Württemberg State,A15-A34,2497
2020-03-28,GM01,Baden-Württemberg State,A35-A59,4682
