date,location_name,location,value
2020-04-22,Swietokrzyskie,PL84,4.0
2020-04-22,Warminsko-Mazurskie,PL85,1.0
2020-04-22,Wielkopolskie,PL86,61.0
2020-04-22,Zachodniopomorskie,PL87,4.0
2020-04-22,Poland,PL,400.0
2020-04-23,Dolnoslaskie,PL72,36.0
2020-04-23,Kujawsko-Pomorskie,PL73,20.0
2020-04-23,Lubelskie,PL75,10.0
2020-04-23,Lubuskie,PL76,0.0
2020-04-23,Lodzkie,PL74,13.0
2020-04-23,Malopolskie,PL77,21.0
2020-04-23,Mazowieckie,PL78,131.0
2020-04-23,Opolskie,PL79,15.0
2020-04-23,Podkarpackie,PL80,16.0
2020-04-23,Podlaskie,PL81,2.0
2020-04-23,Pomorskie,PL82,3.0
2020-04-23,Slaskie,PL83,83.0
2020-04-23,Swietokrzyskie,PL84,4.0
2020-04-23,Warminsko-Mazurskie,PL85,1.0
2020-04-23,Wielkopolskie,PL86,66.0
2020-04-23,Zachodniopomorskie,PL87,4.0
2020-04-23,Poland,PL,425.0
2020-04-24,Dolnoslaskie,PL72,36.0
2020-04-24,Kujawsko-Pomorskie,PL73,20.0
2020-04-24,Lubelskie,PL75,10.0
2020-04-24,Lubuskie,PL76,0.0
2020-04-24,Lodzkie,PL74,20.0
2020-04-24,Malopolskie,PL77,23.0
2020-04-24,Mazowieckie,PL78,141.0
2020-04-24,Opolskie,PL79,17.0
2020-04-24,Podkarpackie,PL80,16.0
2020-04-24,Podlaskie,PL81,2.0
2020-04-24,Pomorskie,PL82,3.0
2020-04-24,Slaskie,PL83,86.0
2020-04-24,Swietokrzyskie,PL84,6.0
2020-04-24,Warminsko-Mazurskie,PL85,1.0
2020-04-24,Wielkopolskie,PL86,68.0
2020-04-24,Zachodniopomorskie,PL87,4.0
2020-04-24,Poland,PL,453.0
2020-04-25,Dolnoslaskie,PL72,37.0
2020-04-25,Kujawsko-Pomorskie,PL73,24.0
2020-04-25,Lubelskie,PL75,10.0
2020-04-25,Lubuskie,PL76,0.0
2020-04-25,Lodzkie,PL74,21.0
2020-04-25,Malopolskie,PL77,25.0
2020-04-25,Mazowieckie,PL78,159.0
2020-04-25,Opolskie,PL79,21.0
2020-04-25,Podkarpackie,PL80,16.0
2020-04-25,Podlaskie,PL81,3.0
2020-04-25,Pomorskie,PL82,3.0
2020-04-25,Slaskie,PL83,89.0
2020-04-25,Swietokrzyskie,PL84,6.0
2020-04-25,Warminsko-Mazurskie,PL85,1.0
2020-04-25,Wielkopolskie,PL86,72.0
2020-04-25,Zachodniopomorskie,PL87,6.0
2020-04-25,Poland,PL,493.0
2020-04-26,Dolnoslaskie,PL72,40.0
2020-04-26,Kujawsko-Pomorskie,PL73,26.0
2020-04-26,Lubelskie,PL75,10.0
2020-04-26,Lubuskie,PL76,0.0
2020-04-26,Lodzkie,PL74,22.0
2020-04-26,Malopolskie,PL77,27.0
2020-04-26,Mazowieckie,PL78,170.0
2020-04-26,Opolskie,PL79,23.0
2020-04-26,Podkarpackie,PL80,16.0
2020-04-26,Podlaskie,PL81,3.0
2020-04-26,Pomorskie,PL82,3.0
2020-04-26,Slaskie,PL83,93.0
2020-04-26,Swietokrzyskie,PL84,7.0
2020-04-26,Warminsko-Mazurskie,PL85,1.0
2020-04-26,Wielkopolskie,PL86,75.0
2020-04-26,Zachodniopomorskie,PL87,7.0
2020-04-26,Poland,PL,523.0
2020-04-27,Dolnoslaskie,PL72,41.0
2020-04-27,Kujawsko-Pomorskie,PL73,26.0
2020-04-27,Lubelskie,PL75,12.0
2020-04-27,Lubuskie,PL76,0.0
2020-04-27,Lodzkie,PL74,22.0
2020-04-27,Malopolskie,PL77,27.0
2020-04-27,Mazowieckie,PL78,173.0
2020-04-27,Opolskie,PL79,24.0
2020-04-27,Podkarpackie,PL80,16.0
2020-04-27,Podlaskie,PL81,3.0
2020-04-27,Pomorskie,PL82,3.0
2020-04-27,Slaskie,PL83,94.0
2020-04-27,Swietokrzyskie,PL84,7.0
2020-04-27,Warminsko-Mazurskie,PL85,1.0
2020-04-27,Wielkopolskie,PL86,77.0
2020-04-27,Zachodniopomorskie,PL87,9.0
2020-04-27,Poland,PL,535.0
