date,location_name,location,value
2021-10-06,Mazowieckie,PL78,197
2021-10-06,Opolskie,PL79,17
2021-10-06,Podkarpackie,PL80,68
2021-10-06,Podlaskie,PL81,121
2021-10-06,Pomorskie,PL82,66
2021-10-06,Slaskie,PL83,46
2021-10-06,Swietokrzyskie,PL84,20
2021-10-06,Warminsko-Mazurskie,PL85,56
2021-10-06,Wielkopolskie,PL86,45
2021-10-06,Zachodniopomorskie,PL87,97
2021-10-07,Poland,PL,2085
2021-10-07,Dolnoslaskie,PL72,88
2021-10-07,Kujawsko-Pomorskie,PL73,58
2021-10-07,Lubelskie,PL75,399
2021-10-07,Lubuskie,PL76,27
2021-10-07,Lodzkie,PL74,112
2021-10-07,Malopolskie,PL77,122
2021-10-07,Mazowieckie,PL78,346
2021-10-07,Opolskie,PL79,20
2021-10-07,Podkarpackie,PL80,89
2021-10-07,Podlaskie,PL81,268
2021-10-07,Pomorskie,PL82,93
2021-10-07,Slaskie,PL83,130
2021-10-07,Swietokrzyskie,PL84,38
2021-10-07,Warminsko-Mazurskie,PL85,70
2021-10-07,Wielkopolskie,PL86,75
2021-10-07,Zachodniopomorskie,PL87,125
2021-10-08,Poland,PL,2007
2021-10-08,Dolnoslaskie,PL72,80
2021-10-08,Kujawsko-Pomorskie,PL73,66
2021-10-08,Lubelskie,PL75,459
2021-10-08,Lubuskie,PL76,27
2021-10-08,Lodzkie,PL74,112
2021-10-08,Malopolskie,PL77,101
2021-10-08,Mazowieckie,PL78,376
2021-10-08,Opolskie,PL79,24
2021-10-08,Podkarpackie,PL80,130
2021-10-08,Podlaskie,PL81,182
2021-10-08,Pomorskie,PL82,83
2021-10-08,Slaskie,PL83,76
2021-10-08,Swietokrzyskie,PL84,21
2021-10-08,Warminsko-Mazurskie,PL85,48
2021-10-08,Wielkopolskie,PL86,88
2021-10-08,Zachodniopomorskie,PL87,103
2021-10-09,Poland,PL,1895
2021-10-09,Dolnoslaskie,PL72,85
2021-10-09,Kujawsko-Pomorskie,PL73,77
2021-10-09,Lubelskie,PL75,368
2021-10-09,Lubuskie,PL76,26
2021-10-09,Lodzkie,PL74,92
2021-10-09,Malopolskie,PL77,99
2021-10-09,Mazowieckie,PL78,396
2021-10-09,Opolskie,PL79,16
2021-10-09,Podkarpackie,PL80,72
2021-10-09,Podlaskie,PL81,192
2021-10-09,Pomorskie,PL82,87
2021-10-09,Slaskie,PL83,103
2021-10-09,Swietokrzyskie,PL84,28
2021-10-09,Warminsko-Mazurskie,PL85,53
2021-10-09,Wielkopolskie,PL86,67
2021-10-09,Zachodniopomorskie,PL87,115
2021-10-10,Poland,PL,2012
2021-10-10,Dolnoslaskie,PL72,88
2021-10-10,Kujawsko-Pomorskie,PL73,56
2021-10-10,Lubelskie,PL75,453
2021-10-10,Lubuskie,PL76,26
2021-10-10,Lodzkie,PL74,98
2021-10-10,Malopolskie,PL77,100
2021-10-10,Mazowieckie,PL78,323
2021-10-10,Opolskie,PL79,18
2021-10-10,Podkarpackie,PL80,81
2021-10-10,Podlaskie,PL81,223
2021-10-10,Pomorskie,PL82,111
2021-10-10,Slaskie,PL83,109
2021-10-10,Swietokrzyskie,PL84,19
2021-10-10,Warminsko-Mazurskie,PL85,83
2021-10-10,Wielkopolskie,PL86,105
2021-10-10,Zachodniopomorskie,PL87,102
2021-10-11,Poland,PL,1527
2021-10-11,Dolnoslaskie,PL72,55
2021-10-11,Kujawsko-Pomorskie,PL73,35
2021-10-11,Lubelskie,PL75,322
2021-10-11,Lubuskie,PL76,34
2021-10-11,Lodzkie,PL74,63
2021-10-11,Malopolskie,PL77,96
2021-10-11,Mazowieckie,PL78,317
2021-10-11,Opolskie,PL79,25
2021-10-11,Podkarpackie,PL80,77
2021-10-11,Podlaskie,PL81,132
2021-10-11,Pomorskie,PL82,65
2021-10-11,Slaskie,PL83,83
2021-10-11,Swietokrzyskie,PL84,17
2021-10-11,Warminsko-Mazurskie,PL85,34
2021-10-11,Wielkopolskie,PL86,68
2021-10-11,Zachodniopomorskie,PL87,75
2021-10-12,Poland,PL,903
2021-10-12,Dolnoslaskie,PL72,34
2021-10-12,Kujawsko-Pomorskie,PL73,27
2021-10-12,Lubelskie,PL75,157
2021-10-12,Lubuskie,PL76,12
2021-10-12,Lodzkie,PL74,38
2021-10-12,Malopolskie,PL77,53
2021-10-12,Mazowieckie,PL78,215
2021-10-12,Opolskie,PL79,10
2021-10-12,Podkarpackie,PL80,31
2021-10-12,Podlaskie,PL81,76
2021-10-12,Pomorskie,PL82,46
2021-10-12,Slaskie,PL83,44
2021-10-12,Swietokrzyskie,PL84,13
2021-10-12,Warminsko-Mazurskie,PL85,20
2021-10-12,Wielkopolskie,PL86,43
2021-10-12,Zachodniopomorskie,PL87,65
2021-10-13,Poland,PL,2118
2021-10-13,Dolnoslaskie,PL72,94
2021-10-13,Kujawsko-Pomorskie,PL73,61
2021-10-13,Lubelskie,PL75,493
2021-10-13,Lubuskie,PL76,25
2021-10-13,Lodzkie,PL74,108
2021-10-13,Malopolskie,PL77,99
2021-10-13,Mazowieckie,PL78,326
2021-10-13,Opolskie,PL79,20
2021-10-13,Podkarpackie,PL80,78
2021-10-13,Podlaskie,PL81,234
2021-10-13,Pomorskie,PL82,150
2021-10-13,Slaskie,PL83,75
2021-10-13,Swietokrzyskie,PL84,34
2021-10-13,Warminsko-Mazurskie,PL85,92
2021-10-13,Wielkopolskie,PL86,65
2021-10-13,Zachodniopomorskie,PL87,132
2021-10-14,Poland,PL,2640
2021-10-14,Dolnoslaskie,PL72,107
2021-10-14,Kujawsko-Pomorskie,PL73,67
2021-10-14,Lubelskie,PL75,620
2021-10-14,Lubuskie,PL76,41
2021-10-14,Lodzkie,PL74,129
2021-10-14,Malopolskie,PL77,142
2021-10-14,Mazowieckie,PL78,457
2021-10-14,Opolskie,PL79,36
2021-10-14,Podkarpackie,PL80,103
2021-10-14,Podlaskie,PL81,261
2021-10-14,Pomorskie,PL82,97
2021-10-14,Slaskie,PL83,131
2021-10-14,Swietokrzyskie,PL84,43
2021-10-14,Warminsko-Mazurskie,PL85,109
2021-10-14,Wielkopolskie,PL86,131
2021-10-14,Zachodniopomorskie,PL87,136
2021-10-15,Poland,PL,3000
2021-10-15,Dolnoslaskie,PL72,107
2021-10-15,Kujawsko-Pomorskie,PL73,90
2021-10-15,Lubelskie,PL75,671
2021-10-15,Lubuskie,PL76,33
2021-10-15,Lodzkie,PL74,167
2021-10-15,Malopolskie,PL77,136
2021-10-15,Mazowieckie,PL78,539
2021-10-15,Opolskie,PL79,32
2021-10-15,Podkarpackie,PL80,154
2021-10-15,Podlaskie,PL81,313
2021-10-15,Pomorskie,PL82,161
2021-10-15,Slaskie,PL83,143
2021-10-15,Swietokrzyskie,PL84,39
